municipi,districte,seccio,mundissec11,codsecINE 10
80193,6,3,08019306003,0801906003
80193,6,4,08019306004,0801906004
80193,6,6,08019306006,0801906006
80193,6,7,08019306007,0801906007
80193,6,8,08019306008,0801906008
80193,6,9,08019306009,0801906009
80193,6,10,08019306010,0801906010
80193,6,11,08019306011,0801906011
80193,6,12,08019306012,0801906012
80193,6,13,08019306013,0801906013
80193,6,14,08019306014,0801906014
80193,6,15,08019306015,0801906015
80193,6,16,08019306016,0801906016
80193,6,17,08019306017,0801906017
80193,6,18,08019306018,0801906018
80193,6,19,08019306019,0801906019
80193,6,20,08019306020,0801906020
80193,6,21,08019306021,0801906021
80193,6,22,08019306022,0801906022
80193,6,23,08019306023,0801906023
80193,6,24,08019306024,0801906024
80193,6,25,08019306025,0801906025
80193,6,26,08019306026,0801906026
80193,6,27,08019306027,0801906027
80193,6,28,08019306028,0801906028
80193,6,29,08019306029,0801906029
80193,6,30,08019306030,0801906030
80193,6,31,08019306031,0801906031
80193,6,32,08019306032,0801906032
80193,6,33,08019306033,0801906033
80193,6,34,08019306034,0801906034
80193,6,35,08019306035,0801906035
80193,6,36,08019306036,0801906036
80193,6,37,08019306037,0801906037
80193,6,38,08019306038,0801906038
80193,6,39,08019306039,0801906039
80193,6,40,08019306040,0801906040
80193,6,41,08019306041,0801906041
80193,6,42,08019306042,0801906042
80193,6,43,08019306043,0801906043
80193,6,44,08019306044,0801906044
80193,6,45,08019306045,0801906045
80193,6,46,08019306046,0801906046
80193,6,47,08019306047,0801906047
80193,6,48,08019306048,0801906048
80193,6,49,08019306049,0801906049
80193,6,50,08019306050,0801906050
80193,6,51,08019306051,0801906051
80193,6,52,08019306052,0801906052
80193,6,53,08019306053,0801906053
80193,6,54,08019306054,0801906054
80193,6,55,08019306055,0801906055
80193,6,56,08019306056,0801906056
80193,6,57,08019306057,0801906057
80193,6,58,08019306058,0801906058
80193,6,59,08019306059,0801906059
80193,6,60,08019306060,0801906060
80193,6,61,08019306061,0801906061
80193,6,62,08019306062,0801906062
80193,6,63,08019306063,0801906063
80193,6,64,08019306064,0801906064
80193,6,65,08019306065,0801906065
80193,6,66,08019306066,0801906066
80193,6,67,08019306067,0801906067
80193,6,68,08019306068,0801906068
80193,6,69,08019306069,0801906069
80193,6,70,08019306070,0801906070
80193,6,71,08019306071,0801906071
80193,6,72,08019306072,0801906072
80193,6,73,08019306073,0801906073
80193,6,74,08019306074,0801906074
